Collected At,Store Name,Address,Store Phone,Owner Phone,Delivery Type,Volume (L),Price per Liter (KRW),Total Price (KRW),Collected By
2023-08-22,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.0,1600,49600,Lee Jeong Hwa
2023-08-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.7,1500,61050,Choi Cheong So
2023-08-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,25.1,1300,32630,Hong Soo Geo
2023-08-30,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.6,1600,76160,Hong Soo Geo
2023-09-03,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.8,1300,40040,Kim Jung Je
2023-09-04,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,26.5,1500,39750,Park Ji Hye
2023-09-05,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,39.7,1300,51610,Hong Soo Geo
2023-09-09,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,41.8,1500,62699,Kim Jung Je
2023-09-10,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.5,1600,76000,Lee Jeong Hwa
2023-09-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,38.6,1300,50180,Hong Soo Geo
2023-09-20,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,44.0,1300,57200,Kim Jung Je
2023-09-23,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,35.5,1300,46150,Park Ji Hye
2023-10-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.5,1600,76000,Hong Soo Geo
2023-10-18,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,29.1,1600,46560,Park Ji Hye
2023-10-23,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.2,1500,48300,Hong Soo Geo
2023-11-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.9,1600,51040,Lee Jeong Hwa
2023-12-06,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.7,1300,42510,Lee Jeong Hwa
2023-12-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.8,1600,65279,Lee Jeong Hwa
2023-12-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,28.2,1500,42300,Lee Jeong Hwa
2023-12-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,25.6,1600,40960,Park Ji Hye
2023-12-22,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.9,1500,46350,Choi Cheong So
2023-12-24,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,37.5,1600,60000,Lee Jeong Hwa
2024-01-10,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.3,1500,46950,Hong Soo Geo
2024-02-16,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.4,1500,68100,Lee Jeong Hwa
2024-02-23,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.7,1500,71550,Lee Jeong Hwa
2024-03-01,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,35.9,1300,46670,Kim Jung Je
2024-03-05,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,34.7,1300,45110,Hong Soo Geo
2024-03-05,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.6,1300,61880,Hong Soo Geo
2024-03-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,39.1,1500,58650,Hong Soo Geo
2024-03-09,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,34.8,1300,45239,Lee Jeong Hwa
2024-03-11,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,36.6,1300,47580,Hong Soo Geo
2024-03-12,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,35.1,1500,52650,Park Ji Hye
2024-03-26,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,36.7,1300,47710,Lee Jeong Hwa
2024-04-01,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,37.0,1300,48100,Lee Jeong Hwa
2024-04-23,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,44.4,1300,57720,Hong Soo Geo
2024-04-25,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.6,1600,48960,Kim Jung Je
2024-04-25,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.8,1600,50880,Park Ji Hye
2024-04-28,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,48.5,1600,77600,Hong Soo Geo
2024-05-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,46.8,1300,60839,Lee Jeong Hwa
2024-05-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,49.9,1600,79840,Hong Soo Geo
2024-05-08,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,29.2,1600,46720,Hong Soo Geo
2024-05-16,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,42.3,1300,54989,Kim Jung Je
2024-05-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,49.8,1500,74700,Lee Jeong Hwa
2024-05-26,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,29.7,1500,44550,Kim Jung Je
2024-05-30,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.5,1500,68250,Kim Jung Je
2024-06-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.3,1600,51679,Lee Jeong Hwa
2024-06-12,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,46.5,1300,60450,Kim Jung Je
2024-06-21,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.2,1500,45300,Lee Jeong Hwa
2024-06-26,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,29.8,1500,44700,Kim Jung Je
2024-07-01,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,28.5,1500,42750,Park Ji Hye
2024-07-11,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.7,1500,49050,Lee Jeong Hwa
2024-07-16,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,35.8,1600,57279,Park Ji Hye
2024-07-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,26.4,1600,42240,Hong Soo Geo
2024-07-20,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.2,1600,51520,Kim Jung Je
2024-07-28,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.2,1600,75520,Kim Jung Je
2024-08-01,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.5,1300,42250,Park Ji Hye
2024-08-07,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,36.8,1300,47839,Park Ji Hye
2024-08-22,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,26.0,1500,39000,Choi Cheong So
2024-09-13,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,49.0,1600,78400,Hong Soo Geo
2024-09-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,46.1,1600,73760,Kim Jung Je
2024-09-16,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.8,1300,53039,Lee Jeong Hwa
2024-09-23,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,43.3,1300,56289,Kim Jung Je
2024-09-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,26.2,1500,39300,Choi Cheong So
2024-09-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,43.1,1600,68960,Park Ji Hye
2024-10-28,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.5,1300,40950,Kim Jung Je
2024-10-31,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,43.0,1300,55900,Hong Soo Geo
2024-10-31,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.2,1500,70800,Choi Cheong So
2024-11-02,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,34.2,1500,51300,Park Ji Hye
2024-11-30,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,43.4,1500,65100,Choi Cheong So
2024-12-01,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.6,1500,45900,Park Ji Hye
2024-12-06,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.6,1600,64960,Lee Jeong Hwa
2024-12-22,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,48.3,1300,62789,Park Ji Hye
2024-12-28,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,46.1,1300,59930,Choi Cheong So
2025-01-25,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.2,1500,45300,Hong Soo Geo
2025-02-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,38.1,1500,57150,Park Ji Hye
2025-02-15,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,28.4,1600,45440,Lee Jeong Hwa
2025-02-25,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,26.2,1500,39300,Choi Cheong So
2025-02-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,29.1,1300,37830,Kim Jung Je
2025-03-08,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,48.9,1300,63570,Hong Soo Geo
2025-03-16,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.2,1500,67800,Choi Cheong So
2025-03-24,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.3,1300,58889,Hong Soo Geo
2025-03-24,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.5,1600,72800,Choi Cheong So
2025-03-31,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.4,1600,64640,Kim Jung Je
2025-04-10,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,49.6,1600,79360,Choi Cheong So
2025-04-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,36.0,1300,46800,Hong Soo Geo
2023-05-15,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,5.9,1500,8850,Kim Jung Je
2023-05-22,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.2,1600,13119,Kim Jung Je
2023-07-27,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.1,1500,10650,Kim Jung Je
2023-08-15,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.6,1600,7359,Hong Soo Geo
2023-10-19,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.2,1500,12299,Park Ji Hye
2023-11-09,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.9,1600,7840,Choi Cheong So
2023-11-26,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.3,1500,6450,Hong Soo Geo
2023-12-11,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.9,1600,12640,Lee Jeong Hwa
2024-01-29,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.1,1500,10650,Kim Jung Je
2024-04-11,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,6.0,1300,7800,Choi Cheong So
2024-05-25,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.3,1600,11680,Kim Jung Je
2024-06-10,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.9,1500,7350,Lee Jeong Hwa
2024-07-03,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.2,1600,13119,Choi Cheong So
2024-07-24,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.2,1500,6300,Kim Jung Je
2024-08-15,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,9.7,1300,12609,Hong Soo Geo
2024-09-17,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,6.0,1300,7800,Kim Jung Je
2024-09-29,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.9,1500,7350,Park Ji Hye
2024-10-10,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,9.7,1600,15519,Lee Jeong Hwa
2024-10-12,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,9.7,1300,12609,Hong Soo Geo
2024-11-18,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,6.5,1500,9750,Park Ji Hye
2024-11-18,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,9.8,1300,12740,Lee Jeong Hwa
2024-12-15,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.8,1300,11440,Park Ji Hye
2025-01-09,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.5,1500,11250,Hong Soo Geo
2025-01-26,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,4.6,1500,6899,Hong Soo Geo
2025-02-02,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,9.2,1300,11959,Kim Jung Je
2025-03-02,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,7.7,1300,10010,Park Ji Hye
2025-03-11,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,5.2,1600,8320,Choi Cheong So
2025-03-21,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.3,1300,10790,Kim Jung Je
2025-04-28,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,5.6,1600,8960,Lee Jeong Hwa
